Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5592092908,"Jul 7, 2021, 10:53:10 PM",Evening Run,Run,,787,2.17,,,FALSE,,,activities/5592092908.gpx,,,787,787,2172.699951,4,2.760736942,54.64321518,54.74319839,273.3999939,293.3999939,25.79999924,-0.004602568,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2451.699951,,,,,,,,,,,,,,,,,,,,,,,,,,,2.760736942,,,,,,,,,,,,,
5594148001,"Jul 7, 2021, 11:21:46 PM",Evening Run,Run,,19,0.1,,,FALSE,,,activities/5594148001.gpx,,,19,19,99.09999847,7.199999809,5.215789318,0,3.299999952,290.1000061,293.3999939,0,-3.329969645,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,93.30000305,,,,,,,,,,,,,,,,,,,,,,,,,,,5.215789318,,,,,,,,,,,,,
5594404715,"Jul 8, 2021, 11:51:20 AM",Morning Run,Run,,2473,6.45,,,FALSE,,,activities/5594404715.gpx,,,2473,2344,6453.200195,4.900000095,2.753071785,167.7263794,167.826004,273.2999878,293.3999939,20,-0.001549619,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,7294.799805,,,,,,,,,,,,,,,,,,,,,,,,,,,2.609462261,,,,,,,,,,,,,
5599303649,"Jul 9, 2021, 11:49:40 AM",Morning Run,Run,,1647,4.21,,,FALSE,,,activities/5599303649.gpx,,,1647,1589,4218.299805,3.799999952,2.654688597,110.0482025,110.0479965,273.2999878,293.3999939,24.5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4776.899902,,,,,,,,,,,,,,,,,,,,,,,,,,,2.561202288,,,,,,,,,,,,,
5602489798,"Jul 9, 2021, 11:10:00 PM",Evening Run,Run,,810,2.23,,,FALSE,,,activities/5602489798.gpx,,,810,776,2238.300049,4,2.884407282,55.82480621,56.82479858,273.3999939,293.3999939,27.10000038,-0.044676762,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2524.100098,,,,,,,,,,,,,,,,,,,,,,,,,,,2.763333321,,,,,,,,,,,,,
5623659469,"Jul 13, 2021, 12:38:30 PM",Morning Run,Run,,2016,5.32,,,FALSE,,,activities/5623659469.gpx,,,2016,1952,5327.399902,5.800000191,2.72920084,136.6504822,136.4499969,273.3999939,293.3999939,23.10000038,0.003754176,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,6039.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.642559528,,,,,,,,,,,,,
5623706118,"Jul 14, 2021, 12:08:18 AM",Evening Run,Run,,792,2.1,,,FALSE,,,activities/5623706118.gpx,,,792,754,2102.600098,3.900000095,2.788594246,54.11470032,53.91469955,273.5,293.3999939,27.29999924,0.009512032,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2381.100098,,,,,,,,,,,,,,,,,,,,,,,,,,,2.654798031,,,,,,,,,,,,,
5629167340,"Jul 15, 2021, 12:11:39 AM",Evening Run,Run,,2310,6.46,,,FALSE,,,activities/5629167340.gpx,,,2310,2280,6467.399902,4.400000095,2.836578846,165.1007538,174.5010071,273.2999878,293.3999939,24.79999924,-0.145344347,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,7312.100098,,,,,,,,,,,,,,,,,,,,,,,,,,,2.799740314,,,,,,,,,,,,,
5634313224,"Jul 16, 2021, 12:36:06 AM",Evening Run,Run,I ate dinner before the run so I had to start the run later ,1806,5.09,,,FALSE,,,activities/5634313224.gpx,,,1806,1776,5094,3.799999952,2.868243217,132.6495667,132.6499939,273.3999939,293.3999939,25,0,,,,,,,,,,,,,,,,,,3,,,,,0,14,0,,1,5803.100098,,,,,,,,,,,,,,,,,,,,,,,,,,,2.820598125,,,,,,,,,,,,,
5636184947,"Jul 16, 2021, 11:53:00 AM",Morning Run,Run,Tired,1747,5.06,,,FALSE,,,activities/5636184947.gpx,,,1747,1706,5061,4.5,2.966588497,129.2409363,129.2409973,273.2999878,293.3999939,28.39999962,0,,,,,,,,,,,,,,,,,,6,,,,,0,45,0,,1,5589.399902,,,,,,,,,,,,,,,,,,,,,,,,,,,2.896966219,,,,,,,,,,,,,
5641228670,"Jul 17, 2021, 11:37:24 AM",Morning Run,Run,,2872,6.87,,,FALSE,,,activities/5641228670.gpx,,,2872,2512,6874.111816,4,2.736509562,172.5502777,172.5502777,273.2999878,293.3999939,23.39999962,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,7483.899902,,,,,,,,,,,,,,,,,,,,,,,,,,,2.393492937,,,,,,,,,,,,,
5652092422,"Jul 19, 2021, 11:49:12 AM",Morning Run,Run,,3047,8.31,,,FALSE,,,activities/5652092422.gpx,,,3047,2986,8312.5,8.199999809,2.783824444,220.4068756,220.3068848,273.2999878,293.3999939,27.29999924,0.001203008,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,9455.299805,,,,,,,,,,,,,,,,,,,,,,,,,,,2.728093147,,,,,,,,,,,,,
5660849888,"Jul 20, 2021, 11:43:29 PM",Evening Run,Run,,3616,9.69,,,FALSE,,,activities/5660849888.gpx,,,3616,3506,9690.400391,5.800000191,2.763947487,242.4818878,245.9818878,273.2999878,293.3999939,25,-0.036131643,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,10717.40039,,,,,,,,,,,,,,,,,,,,,,,,,,,2.679867268,,,,,,,,,,,,,
5663076356,"Jul 21, 2021, 11:49:59 AM",Morning Run,Run,,1641,4.68,,,FALSE,,,activities/5663076356.gpx,,,1641,1577,4686.837891,4.699999809,2.971996307,47.68353271,47.68353271,273.5,294,6.699999809,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,4744.600098,,,,,,,,,,,,,,,,,,,,,,,,,,,2.856086493,,,,,,,,,,,,,
